Nodes,Edges,Graph Type,MST Weight,Prim Time (s),Kruskal Time (s)
86,3655,complete,652,0.020002126693725586,0.029828310012817383
86,85,tree,652,0.009163141250610352,0.013401985168457031
86,729,tree + 10% edges,270.0,0.008289337158203125,0.005939006805419922
86,1261,tree + 20% edges,223.5,0.013096332550048828,0.006722450256347656
86,1696,tree + 30% edges,158.0,0.017732858657836914,0.014594554901123047
86,2027,tree + 40% edges,171.0,0.012058019638061523,0.017583131790161133
86,2347,tree + 50% edges,143.0,0.011124610900878906,0.011023998260498047
86,2584,tree + 60% edges,152.0,0.010303497314453125,0.009102344512939453
86,2783,tree + 70% edges,148.0,0.007566928863525391,0.008992195129394531
86,2924,tree + 80% edges,157.0,0.007953166961669922,0.011100292205810547
86,3058,tree + 90% edges,137.5,0.007741212844848633,0.013467073440551758
48,1128,complete,503,0.0033235549926757812,0.005400180816650391
48,47,tree,503,0.0024704933166503906,0.0035810470581054688
48,238,tree + 10% edges,256.0,0.0019259452819824219,0.0011470317840576172
48,414,tree + 20% edges,208.5,0.0019202232360839844,0.0015468597412109375
48,527,tree + 30% edges,179.5,0.002022981643676758,0.0019087791442871094
48,649,tree + 40% edges,122.5,0.0023984909057617188,0.0021791458129882812
48,722,tree + 50% edges,166.5,0.0021185874938964844,0.0027070045471191406
48,797,tree + 60% edges,121.0,0.0022592544555664062,0.003168821334838867
48,859,tree + 70% edges,154.0,0.002288818359375,0.0027954578399658203
48,915,tree + 80% edges,135.0,0.0023643970489501953,0.003974199295043945
48,949,tree + 90% edges,150.5,0.0031414031982421875,0.0030319690704345703
17,136,complete,305,0.0007939338684082031,0.0006773471832275391
17,16,tree,305,0.0005171298980712891,0.00046253204345703125
17,38,tree + 10% edges,176.5,0.0003552436828613281,0.0001773834228515625
17,58,tree + 20% edges,172.5,0.00041985511779785156,0.0002505779266357422
17,67,tree + 30% edges,141.0,0.0003600120544433594,0.00028824806213378906
17,78,tree + 40% edges,164.0,0.0004019737243652344,0.0003292560577392578
17,93,tree + 50% edges,142.5,0.0003628730773925781,0.0003104209899902344
17,103,tree + 60% edges,154.0,0.00046634674072265625,0.00034499168395996094
17,109,tree + 70% edges,126.0,0.00046539306640625,0.00035881996154785156
17,113,tree + 80% edges,100.5,0.0004923343658447266,0.00036716461181640625
17,117,tree + 90% edges,123.5,0.0004630088806152344,0.00041866302490234375
89,3916,complete,678,0.014598369598388672,0.024239540100097656
89,88,tree,678,0.008547544479370117,0.010066509246826172
89,777,tree + 10% edges,305.0,0.006765127182006836,0.0037796497344970703
89,1327,tree + 20% edges,237.0,0.006258487701416016,0.0050852298736572266
89,1800,tree + 30% edges,194.5,0.007031440734863281,0.0060694217681884766
89,2190,tree + 40% edges,149.0,0.007008075714111328,0.007586956024169922
89,2514,tree + 50% edges,143.0,0.00816202163696289,0.011252880096435547
89,2793,tree + 60% edges,170.0,0.014375686645507812,0.016483545303344727
89,2958,tree + 70% edges,139.0,0.014595270156860352,0.019190311431884766
89,3117,tree + 80% edges,140.0,0.008617401123046875,0.014230012893676758
89,3263,tree + 90% edges,134.0,0.00917506217956543,0.012413740158081055
70,2415,complete,596,0.0065059661865234375,0.013681173324584961
70,69,tree,596,0.0044252872467041016,0.005709171295166016
70,491,tree + 10% edges,289.5,0.004159212112426758,0.002145528793334961
70,840,tree + 20% edges,189.0,0.0038170814514160156,0.0031321048736572266
70,1128,tree + 30% edges,196.5,0.0045397281646728516,0.0043141841888427734
70,1357,tree + 40% edges,135.5,0.00420689582824707,0.004881620407104492
70,1561,tree + 50% edges,165.0,0.004740238189697266,0.0052204132080078125
70,1704,tree + 60% edges,176.0,0.004700899124145508,0.005410194396972656
70,1830,tree + 70% edges,144.5,0.00479578971862793,0.0062105655670166016
70,1936,tree + 80% edges,137.0,0.004626274108886719,0.0064013004302978516
70,2044,tree + 90% edges,124.0,0.0051496028900146484,0.008591651916503906
82,3321,complete,653,0.008757829666137695,0.016679048538208008
82,81,tree,653,0.005772113800048828,0.007319450378417969
82,660,tree + 10% edges,328.5,0.005158901214599609,0.002801179885864258
82,1145,tree + 20% edges,217.5,0.005247831344604492,0.004075050354003906
82,1503,tree + 30% edges,184.5,0.005758523941040039,0.005110263824462891
82,1858,tree + 40% edges,177.5,0.00569915771484375,0.0065424442291259766
82,2132,tree + 50% edges,129.5,0.009998083114624023,0.009868144989013672
82,2348,tree + 60% edges,136.0,0.006382465362548828,0.010148048400878906
82,2542,tree + 70% edges,117.0,0.007800579071044922,0.009809494018554688
82,2655,tree + 80% edges,128.0,0.008721113204956055,0.014292240142822266
82,2755,tree + 90% edges,149.0,0.008643150329589844,0.011587142944335938
70,2415,complete,616,0.011775732040405273,0.016780853271484375
70,69,tree,616,0.00481414794921875,0.005560874938964844
70,487,tree + 10% edges,298.5,0.005282163619995117,0.0024733543395996094
70,839,tree + 20% edges,171.0,0.004010677337646484,0.004616975784301758
70,1142,tree + 30% edges,160.5,0.0059239864349365234,0.0049169063568115234
70,1373,tree + 40% edges,146.0,0.004527568817138672,0.004364490509033203
70,1548,tree + 50% edges,144.0,0.00742793083190918,0.005565166473388672
70,1694,tree + 60% edges,117.5,0.008076667785644531,0.006550312042236328
70,1855,tree + 70% edges,114.0,0.007730722427368164,0.006722688674926758
70,1969,tree + 80% edges,150.0,0.008535623550415039,0.007559537887573242
70,2037,tree + 90% edges,123.5,0.008882284164428711,0.008265018463134766
97,4656,complete,678,0.015247106552124023,0.03591775894165039
97,96,tree,678,0.010685443878173828,0.016925811767578125
97,934,tree + 10% edges,272.5,0.013472557067871094,0.004937887191772461
97,1648,tree + 20% edges,196.5,0.010589838027954102,0.008531332015991211
97,2165,tree + 30% edges,204.0,0.00843954086303711,0.011261224746704102
97,2628,tree + 40% edges,149.5,0.010436773300170898,0.0109100341796875
97,2987,tree + 50% edges,143.5,0.008806943893432617,0.010910987854003906
97,3272,tree + 60% edges,172.0,0.008124589920043945,0.011545896530151367
97,3532,tree + 70% edges,130.5,0.008551359176635742,0.012206792831420898
97,3757,tree + 80% edges,121.0,0.009502172470092773,0.012549638748168945
97,3887,tree + 90% edges,160.5,0.009650945663452148,0.013377189636230469
43,903,complete,490,0.004016399383544922,0.0054340362548828125
43,42,tree,490,0.0019176006317138672,0.0022575855255126953
43,188,tree + 10% edges,279.0,0.002866029739379883,0.002038240432739258
43,331,tree + 20% edges,157.5,0.0023577213287353516,0.0014197826385498047
43,427,tree + 30% edges,176.5,0.0017852783203125,0.001752614974975586
43,496,tree + 40% edges,136.0,0.004081249237060547,0.002783536911010742
43,579,tree + 50% edges,154.5,0.002101898193359375,0.0023996829986572266
43,638,tree + 60% edges,115.5,0.002279520034790039,0.002993345260620117
43,688,tree + 70% edges,126.0,0.0027725696563720703,0.002839803695678711
